"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","41/1165","86/4257",0.476744186046512,1.74206008583691,4.26689771954163,3.94828889531955e-05,0.000638016059496092,0.000478147046876362,"K00761/K03465/K00940/K00757/K00876/K01487/K03784/K00943/K21636/K00942/K01488/K01951/K13483/K00088/K09903/K01239/K00760/K00939/K00945/K02825/K01939/K01494/K11751/K01493/K04765/K00560/K01485/K03783/K01937/K01129/K01489/K08722/K03787/K00756/K00759/K01520/K00087/K00856/K01756/K01486/K03816",41
"Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","51/1165","114/4257",0.447368421052632,1.63471877117687,4.21619152605896,4.16097430106147e-05,0.000638016059496092,0.000478147046876362,"K01711/K03274/K00978/K12454/K02472/K01790/K01840/K01810/K07031/K02473/K00847/K00965/K12452/K03272/K00971/K13020/K02377/K00075/K04042/K00972/K03271/K01784/K08068/K12448/K00820/K01791/K00067/K08678/K01627/K00790/K22292/K00849/K01809/K16011/K00963/K01654/K01710/K00845/K03273/K15856/K17716/K01835/K01854/K01709/K06041/K03431/K08679/K00012/K00973/K00979/K02474",51
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","36/1165","74/4257",0.486486486486487,1.77765920426865,4.14195402408474,6.82434254992819e-05,0.000965906945528298,0.0007238776308021,"K00850/K01834/K00175/K00134/K01810/K01006/K01007/K15633/K00873/K00150/K00382/K03737/K01610/K11645/K01895/K01785/K13953/K02446/K01085/K00927/K03841/K01223/K00016/K00845/K13954/K00895/K00174/K15635/K01835/K01624/K04072/K01803/K00128/K00138/K01689/K21071",36
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","34/1165","70/4257",0.485714285714286,1.77483752299203,4.01191952896251,0.000112674881269754,0.00148086986811676,0.00110980522152915,"K03230/K03117/K03224/K03223/K03226/K03075/K03228/K02456/K03116/K04058/K03221/K03072/K03219/K03217/K03205/K11912/K11891/K03074/K03070/K03106/K12340/K03210/K03225/K04056/K02454/K03076/K03110/K03118/K03222/K04059/K12257/K03073/K03227/K03229",34
"Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","25/1165","47/4257",0.531914893617021,1.9436581134143,3.99269916539278,0.000147743723782565,0.0017132979356068,0.00128399330414469,"K05363/K01925/K03587/K01929/K07260/K06153/K12556/K00806/K00075/K18866/K08384/K01000/K07258/K19302/K05364/K00790/K02563/K01921/K03588/K01924/K07259/K05366/K21469/K01928/K05515",25
"Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","37/1165","79/4257",0.468354430379747,1.71140327049492,3.91732148896589,0.0001489824291832,0.0017132979356068,0.00128399330414469,"K00761/K03465/K00940/K00757/K00254/K00876/K01955/K01119/K06016/K00943/K21636/K00762/K16329/K09903/K01591/K00945/K01464/K17828/K02825/K01494/K17723/K11751/K01465/K01493/K04765/K00560/K01485/K02823/K01937/K01489/K08722/K03787/K16328/K00756/K01956/K01520/K00609",37
"Metabolism","Metabolism of other amino acids","ko00450","Selenocompound metabolism","15/1165","23/4257",0.652173913043478,2.38309386079492,4.0821050283411,0.00016086785096869,0.001741157916367,0.00130487235151074,"K01760/K01761/K11717/K14155/K01739/K00957/K00549/K01874/K12527/K00548/K00384/K01042/K00955/K00958/K01008",15
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","26/1165","50/4257",0.52,1.90012017167382,3.92955408114682,0.000178272440744112,0.00182234050538425,0.00136571285014495,"K00259/K01955/K01953/K00266/K00278/K14260/K00135/K00812/K00764/K01915/K01939/K01914/K00820/K01779/K11358/K01755/K00261/K01940/K19244/K01424/K01744/K01956/K01580/K00262/K01756/K00609",26
"Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","12/1165","17/4257",0.705882352941177,2.57934864933098,4.00464087106973,0.000248997985644597,0.00241134891361084,0.00180713219498295,"K01652/K17989/K01687/K14260/K00826/K00053/K01653/K00052/K01649/K01704/K01754/K01703",12
"Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","51/1165","122/4257",0.418032786885246,1.52752409765707,3.62851139585027,0.000339206655630286,0.00312070123179864,0.00233874062566145,"K08289/K00940/K01588/K01119/K01487/K00948/K03784/K00602/K21636/K00942/K01488/K01951/K01952/K01933/K03651/K13483/K00088/K01239/K00760/K00939/K00951/K07816/K00860/K00764/K19710/K01939/K01839/K11751/K00957/K01768/K01923/K04765/K01945/K03783/K01129/K01515/K05873/K08722/K03787/K01524/K16841/K00759/K00087/K11175/K01835/K00856/K01756/K01486/K00955/K00958/K03816",51
"Metabolism","Metabolism of cofactors and vitamins","ko00730","Thiamine metabolism","16/1165","27/4257",0.592592592592593,2.1653791130186,3.72840393873836,0.000479609284793648,0.0042022908762872,0.00314931410065002,"K00946/K03149/K03148/K00941/K00939/K20895/K01077/K00949/K06949/K04487/K03147/K01662/K03150/K00878/K00788/K03151",16
