"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01250","Biosynthesis of nucleotide sugars","66/1835","114/4257",0.578947368421053,1.34309479420622,3.23177310265004,0.000907749432769588,0.00665682917364364,0.00506074732499224,"K02472/K01810/K00847/K00965/K00075/K04042/K01784/K00820/K01791/K00790/K00849/K00845/K17716/K01835/K00975/K03431/K00973/K00972/K01809/K00012/K00844/K00978/K01854/K01709/K01790/K06041/K01711/K02473/K18431/K12452/K18429/K00971/K02377/K18430/K03271/K00067/K01654/K01710/K02474/K13018/K16881/K13015/K03273/K07031/K19180/K17947/K15856/K03272/K16435/K13327/K00983/K00963/K15778/K03274/K01840/K01627/K03270/K08679/K15916/K00884/K13017/K13019/K22252/K00979/K00886/K08068",66
"Metabolism","Amino acid metabolism","ko00310","Lysine degradation","22/1835","31/4257",0.709677419354839,1.64637426386569,3.14363366722829,0.00154089077850885,0.0108962990765983,0.00828373614010396,"K00382/K18012/K21672/K01843/K18014/K18013/K01844/K18011/K01034/K01035/K00626/K00128/K09251/K07250/K00135/K00290/K00824/K01692/K11433/K13609/K01782/K01825",22
"Metabolism","Metabolism of other amino acids","ko00470","D-Amino acid metabolism","23/1835","33/4257",0.696969696969697,1.61689373297003,3.09625804466173,0.00177779122791894,0.012138022866481,0.00922773668212008,"K01925/K01775/K01921/K01779/K01776/K01778/K01586/K21898/K21672/K17899/K01425/K01844/K18011/K01753/K17898/K05396/K00824/K03367/K14188/K21061/K21062/K13877/K12658",23
"Metabolism","Metabolism of other amino acids","ko00440","Phosphonate and phosphinate metabolism","13/1835","16/4257",0.8125,1.88491144414169,3.08643717533854,0.00212218751036846,0.0140013726064279,0.0106443183557639,"K03823/K05306/K03430/K06167/K20859/K01841/K05780/K06162/K09459/K06163/K00968/K06165/K06164",13
"Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","46/1835","77/4257",0.597402597402597,1.38590891397431,2.97422490923792,0.0022335236553447,0.0140013726064279,0.0106443183557639,"K01734/K00140/K11381/K00925/K00382/K00625/K00016/K00656/K01895/K00248/K15024/K00005/K01962/K01963/K13921/K13919/K01961/K00169/K01026/K05606/K01847/K02160/K07250/K00171/K00170/K00172/K00048/K01902/K01903/K01905/K01692/K00086/K13922/K08325/K01720/K13923/K01848/K01782/K01659/K01825/K00823/K01908/K19745/K11263/K13788/K19312",46
"Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","47/1835","79/4257",0.59493670886076,1.38018832131894,2.96865599147499,0.00226284809800855,0.0140013726064279,0.0106443183557639,"K00761/K00876/K00943/K21636/K16329/K09903/K01591/K00945/K11751/K01493/K00560/K00857/K01937/K01489/K08722/K16328/K00756/K01520/K03465/K00757/K01119/K00762/K01464/K03787/K00610/K17828/K02825/K01465/K02823/K00609/K06016/K01955/K01494/K01956/K01081/K00526/K17723/K10213/K01485/K00525/K17722/K09023/K00758/K08723/K09021/K09018/K00226",47
"Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","33/1835","52/4257",0.634615384615385,1.47223852441836,2.98202897845678,0.00233902268703045,0.0140341361221827,0.0106692262917179,"K01681/K01679/K00031/K00382/K03737/K01610/K01647/K00627/K00239/K00175/K01678/K01677/K01960/K00177/K00176/K00174/K18118/K01958/K01596/K00030/K00169/K00171/K00170/K00172/K00161/K01902/K01903/K00244/K00162/K00245/K01659/K00024/K00240",33
"Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","46/1835","78/4257",0.58974358974359,1.36814085097464,2.8559914449034,0.00320310654338074,0.0183321851786188,0.0139367489662014,"K00928/K14155/K00003/K01752/K00133/K07173/K00548/K00016/K12960/K01738/K00640/K01243/K00831/K00789/K00812/K08963/K00826/K00651/K01740/K00058/K01251/K01761/K01739/K00558/K00832/K00641/K00899/K11358/K05396/K00547/K00797/K01611/K17398/K00872/K01919/K01760/K08968/K00772/K00549/K00024/K12339/K01920/K12524/K08969/K01697/K00813",46
"Genetic Information Processing","Folding, sorting and degradation","ko03060","Protein export","18/1835","25/4257",0.72,1.67032152588556,2.92558092276518,0.00324053778409929,0.0183321851786188,0.0139367489662014,"K03075/K03100/K03101/K03070/K03106/K03210/K03076/K03110/K03073/K03217/K03072/K12257/K13280/K03074/K03118/K03116/K03425/K13301",18
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","24/1835","36/4257",0.666666666666667,1.54659400544959,2.86642256009004,0.003588487535295,0.0197366814441225,0.0150044946651224,"K01938/K01934/K00287/K00282/K01491/K00382/K00560/K00605/K00548/K02437/K00600/K03465/K00297/K00789/K01746/K00603/K00283/K00602/K01251/K11175/K00130/K00547/K01697/K01433",24
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","20/1835","29/4257",0.689655172413793,1.59992483322372,2.82137051642265,0.00430160187431079,0.0230193830030686,0.017500115733327,"K04486/K01745/K00603/K01712/K01468/K01479/K00128/K02501/K02502/K00013/K01693/K00765/K11755/K00817/K02500/K01814/K01523/K01496/K01089/K01590",20
"Metabolism","Glycan biosynthesis and metabolism","ko00541","Biosynthesis of various nucleotide sugars","45/1835","77/4257",0.584415584415584,1.35578045932269,2.74202296453849,0.0044976892821551,0.0234353283649134,0.0178163315054897,"K02472/K04042/K01791/K00973/K00972/K00012/K00978/K01709/K01790/K06041/K01711/K02473/K18431/K12452/K18429/K00971/K02377/K18430/K03271/K00067/K10012/K01654/K01710/K02474/K13018/K16881/K13015/K03273/K07031/K19180/K15856/K03272/K01639/K00983/K00963/K03274/K01627/K03270/K13017/K13019/K00885/K13014/K22252/K00979/K08068",45
"Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","67/1835","122/4257",0.549180327868853,1.27403850448921,2.67291729878046,0.00512422050918817,0.02601527335434,0.0197776931933579,"K01487/K00948/K03784/K21636/K00942/K01951/K00088/K00760/K00939/K00951/K13479/K01839/K11751/K01129/K01515/K08722/K00759/K00926/K00087/K01835/K01486/K03816/K01119/K01488/K07816/K01939/K03787/K01483/K01756/K01588/K00602/K01933/K00764/K01923/K01945/K03783/K06928/K01466/K02083/K11175/K16841/K01524/K01952/K01081/K21138/K00526/K01430/K01428/K14048/K03651/K01239/K00957/K15778/K18151/K01768/K00525/K11178/K08289/K01241/K11177/K13480/K00073/K00364/K00856/K00955/K01589/K00956",67
"Metabolism","Carbohydrate metabolism","ko00053","Ascorbate and aldarate metabolism","19/1835","28/4257",0.678571428571429,1.57421175554691,2.65316357921472,0.00704904722926558,0.0341522190955303,0.0259636753357833,"K03077/K01708/K03079/K00012/K00128/K00002/K01630/K01195/K20023/K08092/K03476/K02822/K02821/K03475/K03078/K08679/K00880/K13877/K01706",19
"Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","27/1835","43/4257",0.627906976744186,1.4566757493188,2.61954996610452,0.00707192415614517,0.0341522190955303,0.0259636753357833,"K01915/K00611/K01478/K00926/K00262/K00821/K00145/K00812/K00930/K01755/K01940/K00620/K01425/K01955/K11358/K01956/K14260/K00619/K01430/K01428/K01438/K14048/K01476/K00261/K00260/K14682/K00813",27
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","43/1835","75/4257",0.573333333333333,1.33007084468665,2.51002216499199,0.00864858998419695,0.0407719242112142,0.030996199692736,"K01681/K00031/K00928/K11381/K00133/K00382/K03737/K01647/K00627/K01704/K01703/K00821/K00175/K00145/K00812/K00930/K00177/K00826/K00176/K00174/K00620/K05825/K01687/K00030/K00052/K00053/K00169/K01652/K00171/K11358/K00170/K01653/K01649/K00172/K00161/K14260/K00836/K00619/K01438/K00162/K01659/K14682/K00813",43
